브랜드,제품명,원래 가격,최종 가격,리뷰 수,리뷰 등급,점수 비율_5점,점수 비율_4점,점수 비율_3점,점수 비율_2점,점수 비율_1점,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요
헤브블루,헤브블루 살몬 케어링 센텔라 크림 100ml,39900,26800,1162,5,93,4,2,0,0,37,54,9,54,44,2,87,13,1
라네즈,[단독기획] 라네즈 래디언씨 크림 30ml 기획 (+7ml*2ea),32000,25600,1972,5,74,19,5,1,1,35,59,7,33,18,49,62,35,3
코스톡,코스톡 톡톡 수딩 아쿠아 크림 70ml,28000,14000,729,5,96,3,1,0,0,35,55,10,60,40,1,93,7,1
빌리프,[올리브영 단독] 빌리프 더 트루 크림 모이스춰라이징 밤 30ml 기획 (+에센스35ml),31000,24900,135,5,88,8,3,0,1,51,41,8,80,18,2,79,21,0
디마르3,[잡티케어] 디마르3 에트셀 멜라케어 크렘 65ml,0,58300,110,5,86,7,4,2,1,52,48,1,54,12,35,82,18,1
에센허브,[인씨PICK] 에센허브 티트리 수딩 인 카밍 크림 80ml,34000,24500,281,5,82,14,2,2,0,28,55,17,40,60,2,84,16,1
구달,[단독기획]구달 흑당근 비타A 레티놀 탄력 크림 50ml 기획 (+크림 15ml*2ea),34000,23800,325,5,76,14,7,2,1,31,60,9,42,21,37,61,36,3
코스알엑스,[주름탄력] 코스알엑스 더 레티놀 0.3 크림 20ml,28000,23800,76,5,88,11,0,1,0,32,59,9,20,8,72,42,50,8
센텔리안24,센텔리안24 마데카 크림 타임 리버스 단독 기획(15ml*2개+마스크팩3매),38000,21900,2786,5,90,7,2,0,0,45,50,5,57,26,17,80,20,1
케어존,케어존 리큐어 노르데나우 시카 크림 60ml 더블 기획,30000,21900,543,5,80,14,5,1,1,15,67,19,40,60,1,62,38,1
몰바니,[고민시 PICK]몰바니 아티초크 카밍 케어 수딩 크림 100ml,27000,21600,339,5,88,6,4,1,1,27,56,17,53,45,2,78,19,3
